	submission score	comment score	submission id	comment id	title (string #1)	comment (string#2)
2281	45244	880	bndpre	en4v0p0	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	whoever can fully read the amazon tos and pass a test prepared by amazon lawyers
2282	45244	16274	bndpre	en4otrt	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	find his personal amazon store page and buy his used copy of spaceballs on vhs. only, we wouldn't know what we were looking for. just some random ass person would be buying spaceballs on vhs and they'd get a knock on their front door within an hour, with the vhs and a cashier check.
2283	45244	8341	bndpre	en4p8s2	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	solve the logistics for prime instant. a much faster service than the 2 hour prime now.
2284	45244	15689	bndpre	en4r974	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	whoever brings him back to life gets half of his fortune.
2285	45244	5080	bndpre	en4qpxe	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	create an online book store, then morph that into a shopping website and then add servers rentals on top. oh, and become bald.
2286	45244	6798	bndpre	en54gmw	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	"develop a machine learning-powered system that accurately predicts when workers are planning to unionize, then automatically fires them, uploads their identity to a ""wants laborer rights; do not hire"" blacklist for other companies to see, and burns down their house"
2287	45244	37509	bndpre	en4s81u	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	kayak race down the literal amazon in a kayak you bought on amazon.
2288	45244	26419	bndpre	en4r2z7	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	one item on amazon is chosen at random. if the item is bought, whoever bought it wins.
2289	45244	16049	bndpre	en4pbrf	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	he puts out 5 golden tickets in random amazon prime packages.
2290	45244	643	bndpre	en4vs6z	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	everyone becomes temporary amazon employees and are all given the same package to be delivered to the same location, whoever gets there first wins the money
2291	45244	9835	bndpre	en4n3pa	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	work in his warehouse without sick days full time
2292	45244	1923	bndpre	en4n70g	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	how did you get a gold and a silver in two minutes? edit: i was wondering because when i wrote this comment, it was in new, 2 min old, 1 comment and already 1 gold and 1 silver. some people say op gilded themself, op says they didn't, we'll never know i guess.
2293	45244	5481	bndpre	en4n4sp	if jeff bezos died and left his fortune to whoever completed a some sort of challenge, what challenge would be most appropriate?	create a virtual reality game where people would have to find three separate keys in easter eggs in an epic treasure hunt that may or may not be made into a movie.
